var,is_factor,inc
Store,yes,yes
DayOfWeek,no,yes
Date,no,no
log.Sales,no,yes
Sales,no,yes
Customers,no,no
Open,yes,no
Promo,yes,yes
StateHoliday,yes,yes
SchoolHoliday,yes,yes
Week.Of.Month,no,yes
Year,yes,yes
Month,yes,yes
Day,no,no
StoreType,yes,no
Assortment,yes,no
CompetitionDistance,no,no
CompetitionOpenSinceMonth,yes,no
Weeks.Since.Competitor,no,yes
CompetitionOpenSinceYear,yes,no
Promo2,yes,yes
Promo2SinceWeek,no,no
Promo2SinceYear,yes,no
PromoInterval,yes,no
Promo2.Status,yes,yes
Promo2.FirstMonth,yes,no
Competitor.Present,yes,yes
trend,no,no
State,yes,no
Id,no,yes
Weeks.After.Promo2,yes,yes
